,Survivability
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1